m112,m122,m222,lam1,lam2,lam3,lam4,lam5,mu,yt,gp,g,nvev1,nvev2,nvev3,cbvev1,cbvev2,cbvev3
-49392.894020765685,2553.9722657845305,-22830.831394486322,1.7705621819279975,0.2068324432655334,0.8116804773738707,0.5275114177194794,0.4422480044999437,246,1.2198463199498875,0.3497,0.652954,-7.748214638475233,-483.92525057489064,-3089120810067947e-29,-173.36415947533033,-30.315991958347073,163.85472281317658
-46390.501254223054,-513.8036655623572,-29644.718881299792,1.6737095618960063,0.3304399250198705,1.061123669730718,0.45565398681435454,-0.10467695228968532,246,1.3891562794970131,0.3497,0.652954,2.4473399304222574,-448.98423852931927,-7331685095194193e-27,192.47586369525027,-15.263140307890382,-141.03021052015177
-39934.260982927975,1402.5802069194654,-17081.938188342578,1.6634452251284526,0.10905295824425153,0.7090919768719296,1.3225420976710893,-0.9272965007441654,246,1.2372405081023294,0.3497,0.652954,-4.423494683797086,-657.4736533685478,28074460888357374e-30,-204.3243468801566,-34.844272559234625,88.94727035932111
-44341.52069283945,1154.9170416915088,-17795.41034618579,2.0608630013316516,0.15884165839632658,0.8212341738965326,0.9042433309655271,-0.4071788943210888,246,1.2162727932141149,0.3497,0.652954,5.055737155313649,487.9669830904214,14106399911862413e-28,-173.71179070252157,-26.804562455518585,119.55145407595977
-62034.87255340984,-2018.436523387524,-83903.00148850455,1.7480384440706453,1.8918069784746794,2.3375190011295617,0.9761372588966862,-0.33508709516934543,246,1.8792150267360592,0.3497,0.652954,8.333433187314863,-300.20368243100694,5085274929540107e-28,186.288442630193,-32.885793549945646,-192.40451133118665
-84198.78045447245,-2959.1102151453106,-55267.94788045954,2.7680830892379555,0.6804594509861883,1.8122687446509549,0.6448021535255948,0.10822560254361259,246,1.3942609410857625,0.3497,0.652954,9.235038573099093,-408.66245272873715,-6980464947706442e-26,-240.10499294028392,31.77094632600864,-55.049268230997825
-17086.046507148014,517.1798984394717,-89263.87478263232,0.4016829531146173,4.592255127075258,0.762476598264749,3.7312590050275056,-2.3877011850920877,246,3.0278462681751726,0.3497,0.652954,-3.3582191756472732,-219.11606147668425,-21948066464870561e-29,3.7604660715820444,199.90478078876566,-109.84673430119003
-73840.65367880714,-973.8345501366537,-24080.376529517234,3.855899716851219,0.19333222612281206,1.256048625521014,0.8489987820188505,-0.20473674182130827,246,1.20825661011145,0.3497,0.652954,2.7402774439085067,-518.763973965324,23469351382625282e-27,-109.53082982372521,27.174436223672117,-163.5593002177982
-59833.03294329562,-6340.967023886995,-95657.51634239091,1.857098407096342,3.1614153963853453,1.5172961570709718,0.3000119064718726,0.18236045197838635,246,2.6156587772932283,0.3497,0.652954,79.66926070341007,-275.0468094345361,-4239990400269322e-28,111.56185035593982,-231.17501102308236,95.76362931478313
-59628.4417606234,2437.8154051044053,-46304.714604877976,2.0068484775432127,0.6774064985429847,1.5439558770313582,0.3443534316289527,0.21322813061676066,246,1.5179380661900546,0.3497,0.652954,10.433936985466776,376.2814174387501,14620647773454265e-28,-244.12632569674017,-35.55163821179269,9.772379477371459
-32450.299407768533,-302.23653180886,-19594.374344764514,1.2731450545415812,0.2006654969165925,0.759939043581137,0.5867587808735718,-0.4114759033535753,246,1.3558895603687555,0.3497,0.652954,1.625543838669135,-531.8033223833107,-7200660789313943e-30,152.94554707249364,-22.861265627734653,170.95179849414333
-49082.9081267857,108.66365575150121,-56202.73473291006,1.545362830483323,1.2165844493505396,1.7558365106959442,0.7536508047007361,-0.6070886060402221,246,1.7981368240765676,0.3497,0.652954,-0.8805206542347864,-305.23376876143976,17857664091596681e-28,-109.72854723895357,-13.578141363310609,-231.29393484698704
-57517.04203585962,606.0563717258628,-21875.72937643548,2.8469922817547944,0.21219393994986854,1.073203642317284,0.2652079843665764,0.07553514298977415,246,1.225817694295496,0.3497,0.652954,3.049506696034807,465.38448716491877,-45099980023009366e-28,196.11843097613635,18.209918985534344,53.563650781535976
-49190.568864633984,1006.9517697179981,-25741.797926397387,2.0476582193917032,0.24777422062377374,1.0611783961097667,1.307975747713657,-0.9549566679826644,246,1.367242913468449,0.3497,0.652954,4.248373720055055,476.8895449523637,6769247714767702e-29,140.31297975280168,40.65775684897171,-171.56035757654996
-56607.36849452927,-1271.3107390618009,-28789.948519306432,2.2697020238204098,0.2870311132339143,1.1443172861380653,0.5684608123136383,-0.1722768982529317,246,1.3141572502523897,0.3497,0.652954,-5.319420289333822,470.5463404779194,34693572235002716e-28,224.77305710113592,-28.48842489641703,-16.78477812314327
-80792.02850561224,2582.5444245795893,-22623.541217105758,4.05693217219722,0.11869469967207724,1.142249883144416,1.0754091777475594,-0.19327130688511657,246,1.1614103217414238,0.3497,0.652954,4.330581454450269,670.4829840129255,-15849699978310507e-29,-195.0091576924596,-29.356924796393486,-44.908241773869406
